,English,Bemba,Bemba2
497,Centipede,Iciyongoli,
498,Central,Pakati,
499,Certain,Shininkisha,
500,Certainly,Na cine,cine cine
501,Chaff,Musungu,
502,Chain,Munyololo,
503,Chair,Umupando,
504,Chairman,Shicilye,
505,Chalk,Ulupemba,
506,Chalice,Cikombe,
507,Chance (luck),Ishuko,
508,Chance (time),Inshita,
509,Change (coins),Isha museke,
510,Change (being),Aluka,
511,Change (direction),Pinduluka,
512,Change (direction-cause),Pindulula,
513,Chapel,Inɧanda ya kwa Lesa,
514,Chapter,Cipandwa,
515,Character,Misango,Mibēle
516,Charcoal,Mufito,"""Amalasha"""
517,Charge (price),Mutengo,
518,Charge (demand payment),Lipilisha,
519,Charitable,Ba no bupe,
520,Charity,Icitemwiko,
521,Charm,Ubusaka,
522,Charm (spell),Ubwanga,
523,Chase,Tamfya,
524,Chat,Ilyashi,
525,Cheap,Nako mutengo,
526,Cheat,Cenjesha,
527,Check,Lengula,
528,Cheek,Isaya,
529,Cheer,Sansamusha,
530,Cheerful,Ba ne nsansa,
531,Cheerfulness,Insansa,
532,Cheetah,Cinseketa,
533,Chest,Icifuba,
534,Chew,Sheta,
535,Chicanery,Ubukakashi,
536,Chicken,Inkoko,
537,Chicken-pox,Kabokoshi,
538,Chide,Kalipila,
539,Chief,Imfumu,Bashamfumu
540,Chieftainship,Bufumu,
541,Chief's palace,Isano,
542,Child,Umwana,
543,Childhood,Ubwaice,
544,Childish,Ba nga kaice,
545,Chill,Kata,
546,Chimney,Icipunda ca cushi,
547,Chin,Kalefulefu,
548,Chip,Mokola,Kombola
549,Chisel (noun),Umwengo,
550,Chisel (verb),Fukula,
551,Choir,Baomba,
552,Choke,Pwilisho mweo,
553,Choose,Sala,
554,Chop,Ceka,Putaula
555,Christ,Kilishitu,
556,Christendom,Bukilishityani,
557,Christmas,Nshikunkulu ya kufyalwa kwa kwa Kilishitu,
558,Church,Ekelesha,Chalici
559,Church (building),Inɧanda ya Mulungu,
